gauge_address,creator_address,internal_bribe_address,external_bribe_address,pool_address,contract_address,tx_hash,event_index,block_timestamp,block_number
0xf50fa655a347e1e2804ef37fbe068b479f3cec9e,0xd790b013ecae56e768ed184c45be7894b7f1fc3a,0x66e34c5612471878c5c02b170db38ec1f31d52ba,0xbd5cbca59cd3c29737dc6c23f32978c7418bcf74,0x48e18e3d1efa7f0e15f1b2bf01b232534c30a3ef,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x797e5f23db88596815f19b6b07491a8dc8eabbdbd68086d46afb5d2df134441e,1,2022-06-02 13:24,10265000
0x871f1aa4a607b2f7a62971b95840add41e6a5d45,0x1acd043d55312f1d491fb5600d67f560aede7617,0xba2e022f3aff288b4f0f27fa32af679bda672dbc,0x29ebee84f2762572f0f70c29b2549db9e00f3fcf,0x78fa29412998acedd7728b4cf5623ee5e2f8f589,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xec2633ec0013738afeb406582a57d59deb47fddb30d7f9e20e27dbe02005db90,1,2022-06-02 21:35,10341384
0x1d37704877e38b48f4600c20ac8e5efec768094a,0xada6c4ffacbb1643254b3c2ba2b0249bc6861ed2,0x003b4ceec1c90c8db6a8758d9a834f5e8d241d2b,0x973beeaa87d24087774020f4e85c01bdb265d7c2,0x0d693efd716021878d5979fab4cf8f6c1b7ce450,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xc8c726ca54ddc7539ae3f7ed56f4811fdf15791f1f4a9e15e515d2511b454584,1,2022-06-03 15:33,10450705
0xa853d38197be4e9ed8a466852f5bd2e7daa36abd,0x0e206a0ca94fdb974d6622573ef36f3bdef4933d,0x4b21277cf7db20141ee63985b688670f5f2894bc,0x5e1892ac417fc289b46ff9096acabc4977ca2963,0x49b5c691685aaeeaaaff57ab6ccef081a165f5bb,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xfd035e42e282c3e0644f159a8fa7753ac8ab52fb38c3047be78f1c566b7277e9,1,2022-06-03 15:48,10452122
0xb62814b9ec209959dffd36d6130349c2fbae9050,0xbdec7287c08c0c153f9843c4796d59e3bf7178e4,0x47181a570c2ef000202e372db6d6fb869009cc59,0xdc054d991674b60b66cda9c9515596dd9093aee9,0x587233ce63d7c1e081ce9d94d9940544758f6d01,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xdd9486369c3570fdeebde25e717951f318f930c12505c8d64c5a02c229c41d06,1,2022-06-04 21:03,10588518
0x1c5472efdf8ce67259d6f44ef548c68703797fa2,0x8bace3a49a375027868cdd34e84521eed1f1b01d,0xf51f0e8d23b34da6e792d489d1ea33e32dd6e594,0xe25288cedf434878ef043a72abf3b0a44a6e40e6,0xffb6c35960b23989037c8c391facebc8a17de970,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x7c152ad6dda5c0a5d5f285bb504333daea2c05621dc51a813d0b83f4826de542,1,2022-07-05 20:39,13911985
0xc8f650131f160da1f362777e3d5d7162ae3ac077,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x6027647e70e31280989358d4fedd8befd513230d,0xae7a6e90f88c5e39151b22cdd225b101611eba70,0x4c8b195d33c6f95a8262d56ede793611ee7b5aad,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x607fc8e12b205037f4716713f9bd4a355ec3f8357d5d66cb798a488a3a46d3cd,1,2022-07-06 18:00,13972721
0xd60f580254dfdecd88efed627b286eb5e5bb34a4,0xdd16f14aa9226e7ecc456f8b52427f92eb7b84ee,0xae0a7edd0c57641428b2014f06be9c4f106d00fc,0x6060f695c7b41f365da07d86ad9e4539909ad8db,0xc4e7cfc1db28fa7d729fdb3617b48dfdd45a4511,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x6f3996eb157ec40e1ba8cd97a83e720342fd9a84acbc126add4b31a14b99594c,1,2022-07-06 20:08,13980775
0xc8110f2544a8e5075a9b3f00dc1c95543342c7a2,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x98d657aa29b0b73f017cf6d3218cdb13f16b97a0,0x19ebf3abb233981bb914708f8ef8f45568c3e3a9,0xfdad8f85c0f3895c85301f549d124ce526479bf8,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xaed2ad4aed7176c9bf387a82d560a0bb58bb88e5cdab43cce1ca7f992277378c,1,2022-07-06 20:28,13981511
0x267a10d6053a8d52b7d91de34791d61e9e8353d1,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x7f19cfcdda3ee4806c6b5061ff51af10c24dbd48,0x434105374ed633414c75ce11b8c8df53804a36d0,0x61eba8151880ea81743795faf3e4042b38e8638c,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x381ae4dd0d66d135e9427e9ff783a78424870f7611c94cf271ce1ee1e3e93371,1,2022-07-07 14:11,14023150
0xe225cc39749fb79936b0da0c482f7385f169e507,0x88f81b95eae67461b2d687343d36852f87409a7b,0xd3c844670a97f7fb8be5cc3ef558ede102187f81,0x2eb772f0e1052aa894fc876ef2a6816e7c886c2b,0x3e5b814cda46765e2fe250f2421fbddf4b879021,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xd5f8799eabf6bb7e00ff6ecd7767c039ba7045e8c1d6547d3da49fc711e4512d,1,2022-07-09 11:46,14151004
0x3460ddf1e3ed8db401fe3f2df9a7cc9f3e5d85d0,0xfba11c84041c2d70a8a3a724c5d5212e50ba858a,0xbf23762989294f96765e07ca6f6ee8434761ef65,0xcbeb11935da106a41bfd8531dd36e993e1acf02e,0x03c188a43b3deea4426599f2e582aab6e76417d3,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x21c3eb639aa1ceec903f329f36eb86e78f6dfe121422b5c3410784f38b1aec63,1,2022-07-09 15:05,14162686
0x45bc4ffb31a40a99a22236a579c0d9a9957591af,0x5a10850aa20b95cfd4f46759946a3a1614797ddc,0x8096ff0fa66fe263d8e8a1d03ba8800e6e045a46,0x9e54d7c86fc4c94ce5d0d9252daee98002c9288f,0xfb65a99210966813e98594233fbfbcf18cd013e4,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x416a09a5022038ce4f064a080205da4b34caa00146b1fcb779a0f1521180b7cd,1,2022-07-10 9:13,14198517
0x562c36b40ac550e2e44585d2b3b8eaae2fe6a9be,0xc2a091bb852ce978d9d6c84151092060f34c4a43,0x5e8100aff3f0120a19f07621bb82d9c17b8fa670,0x4b65981490f51a02955842a4fcd40a8ca07e62ef,0x2441a0952a74994890f3326143032736ec7aada4,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xd96d74f85d2fdd5f4f8f148574ae86bed5e2e663fe250d1a3c88228db9c6e0a4,1,2022-07-10 20:07,14226605
0xd15c4a55e4c2ca9b9ad6243200ff46ef12e4a421,0x7e788c62c9ca849dce399e90f912beae14424616,0x28f531b7e3555175c6085d641206abbf6d0db8bb,0x52591f8ecedd8670371bfda9e30beba03e043a48,0x6580c6ee0bb96651be0aa8db382b48ea7acd077d,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xbb93e1b067781b176bf881e40493e93ab085f253663bd0f6f772ef4c650e68ae,1,2022-07-12 17:40,14338927
0xb4d9036b81b9b6a7de1c70887c29938ec8df6048,0x357990585a6bb953dcba126de48585ed27e22319,0x13fb638bbff3f4e86459c033f73d9544dced4fe6,0xbc3fc61020dfa601e33629d89d83c7ce2d9e8423,0xfc77e39de40e54f820e313039207dc850e4c9e60,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xe53a17d3470e266aeb86421a011eeec023a77dfad91d3f74ea75a1d38728cca3,1,2022-07-15 20:49,14608963
0x53577602b65f48b3064b85f14974ff6a0d8cfdf4,0x14f4785e5f8738eb589eb0bf9edc6a5f86755944,0xab2ebb5e4b34faea91b5faa351a1bfea525b4657,0x0c94c838cc8751adf9759b6ae9f17429f9fc4654,0x3e4eccad2ebb0e2e59bf9ff9aed42c486e884451,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x0522c3fac586099530cbdbc253822c57a96e93511890bd776c7c86cb0ebe225d,1,2022-07-16 6:05,14634201
0xaea343b1ef5ecfa0d252d7078425bac047cf5d18,0x96a2699644a7be70a4f6bf4d42548f765399d649,0xe6db965e62020e75b765b2b5aca262808c8f72e7,0x78512216e6b71229475b43bb938ef23dfc3d8bc8,0x5edac6b8ea08d535c01981d75b3361481c0ee999,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xa62d25004031a0890a6583522db62dc0925ebffd3c9ae86ea231a3ba3a8975ff,1,2022-07-16 10:33,14648904
0xdcff4ca5b6c45b5459e769081e5ee4de2f4c4c2a,0xb20849a65fe4cf3c8eba9ba1638c6563b31e4c6b,0xf166b0389a6e87b13f3a5aac4951973adbb500bb,0x9e5eed80f932128f72b481036d88fe9b795e2db4,0x0b5581d5db524eaf0006a0bafd1e8d206c70cc0d,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x81a3cba5eb90696163edef1be7e420bc35e30d09a98b69cf84acfc0803614b9d,1,2022-07-16 14:18,14662790
0x0e2cc300673129e08e50ea9136dca3b6468133dd,0xf77997d6314791da9828275c289122e47554130b,0x8b03a7e4a868b442b160a4e8e15b6cff5f1f64e9,0xe4149ae38ab568d507e387985aaa25e0649e65bd,0x051a9a47920a913914a9e6e961a230a2a464eeb2,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x1e067db101e973bb154aae634bc5524fa55c82c16a227bd39d5e6605f7086a40,1,2022-07-16 21:24,14696433
